Bogføringsdato;Bilagsnr.;Eksternt bilagsnr.;Beskrivelse;;;Momsbeløb ;;Debet;;;Kredit;;Saldo
03-01-23;1707;;dk;;;0,00;;;;;800,00;;-800,00
04-01-23;1711;;Nets;;;0,00;;;;;600,00;;-1.400,00
05-01-23;1719;;dk;;;0,00;;;;;600,00;;-2.000,00
05-01-23;1719;;dk;;;0,00;;;;;400,00;;-2.400,00
05-01-23;1719;;dk;;;0,00;;;;;300,00;;-2.700,00
06-01-23;101269;11009;Kundebetaling - Kundeordre CO000422;;;0,00;;558,00;;;;;-2.142,00
06-01-23;1722;;Mobilpay;;;0,00;;;;;29,20;;-2.171,20
08-01-23;101270;11010;Kundebetaling - Kundeordre CO000423;;;0,00;;865,00;;;;;-1.306,20
09-01-23;1731;;Mobilpay;;;0,00;;;;;1.099,25;;-2.405,45
10-01-23;1733;;dk;;;0,00;;;;;865,00;;-3.270,45
10-01-23;1733;;dk;;;0,00;;;;;558,00;;-3.828,45
10-01-23;1733;;dk;;;0,00;;;;;200,00;;-4.028,45
10-01-23;1733;;dk;;;0,00;;;;;500,00;;-4.528,45
10-01-23;1734;;Nets;;;0,00;;;;;2.000,00;;-6.528,45
14-01-23;101273;11012;Kundebetaling - Kundeordre CO000425;;;0,00;;280,00;;;;;-6.248,45
14-01-23;101272;11011;Kundebetaling - Kundeordre CO000424;;;0,00;;1.000,00;;;;;-5.248,45
15-01-23;101275;11014;Kundebetaling - Kundeordre CO000427;;;0,00;;800,00;;;;;-4.448,45
15-01-23;101274;11013;Kundebetaling - Kundeordre CO000426;;;0,00;;358,00;;;;;-4.090,45
16-01-23;1742;;Mobilpay;;;0,00;;;;;64,25;;-4.154,70
16-01-23;101276;11015;Kundebetaling - Kundeordre CO000428;;;0,00;;480,00;;;;;-3.674,70
17-01-23;101279;11016;Kundebetaling - Kundeordre CO000429;;;0,00;;144,00;;;;;-3.530,70
18-01-23;1746;;Mobilpay;;;0,00;;;;;755,25;;-4.285,95
18-01-23;101281;11018;Kundebetaling - Kundeordre CO000431;;;0,00;;358,00;;;;;-3.927,95
18-01-23;101280;11017;Kundebetaling - Kundeordre CO000430;;;0,00;;100,00;;;;;-3.827,95
19-01-23;1752;;Mobilpay;;;0,00;;;;;3.985,00;;-7.812,95
19-01-23;101282;11019;Kundebetaling - Kundeordre CO000432;;;0,00;;189,00;;;;;-7.623,95
19-01-23;101285;11020;Kundebetaling - Kundeordre CO000433;;;0,00;;215,00;;;;;-7.408,95
21-01-23;101287;11021;Kundebetaling - Kundeordre CO000434;;;0,00;;495,00;;;;;-6.913,95
23-01-23;101289;11023;Kundebetaling - Kundeordre CO000436;;;0,00;;173,00;;;;;-6.740,95
25-01-23;101292;11025;Kundebetaling - Kundeordre CO000438;;;0,00;;253,00;;;;;-6.487,95
25-01-23;101293;11026;Kundebetaling - Kundeordre CO000439;;;0,00;;325,00;;;;;-6.162,95
25-01-23;101295;11028;Kundebetaling - Kundeordre CO000441;;;0,00;;230,00;;;;;-5.932,95
25-01-23;101296;11029;Kundebetaling - Kundeordre CO000442;;;0,00;;265,00;;;;;-5.667,95
25-01-23;101297;11030;Kundebetaling - Kundeordre CO000443;;;0,00;;90,00;;;;;-5.577,95
25-01-23;101298;11031;Kundebetaling - Kundeordre CO000444;;;0,00;;395,00;;;;;-5.182,95
